"","CommonName","Genus","Species","Total","Latin"
"1","Acadian Hairstreak","Satyrium","acadicum",755,"Satyrium acadicum"
"2","American Copper","Lycaena","phlaeas",10255,"Lycaena phlaeas"
"3","American Lady","Vanessa","virginiensis",2029,"Vanessa virginiensis"
"4","American Snout Butterfly","Libytheana","carinenta",1007,"Libytheana carinenta"
"5","Aphrodite Fritillary","Speyeria","aphrodite",477,"Speyeria aphrodite"
"6","Appalachian Azure","Celastrina","neglectamajor",15,"Celastrina neglectamajor"
"7","Appalachian Eyed Brown","Satyrodes","appalachia",2118,"Satyrodes appalachia"
"8","Azures","Celastrina","ladon",63947,"Celastrina ladon"
"9","Baltimore","Euphydryas","phaeton",818,"Euphydryas phaeton"
"10","Banded Hairstreak","Satyrium","calanus",1107,"Satyrium calanus"
"11","Black Dash","Euphyes","conspicuus",133,"Euphyes conspicuus"
"12","Black Swallowtail","Papilio","polyxenes",12410,"Papilio polyxenes"
"13","Broad-winged Skipper","Poanes","viator",4338,"Poanes viator"
"14","Bronze Copper","Lycaena","hyllus",656,"Lycaena hyllus"
"15","Cabbage White","Pieris","rapae",304105,"Pieris rapae"
"16","Carolina Satyr","Hermeuptychia","sosybius",822,"Hermeuptychia sosybius"
"17","Checkered White","Pontia","protodice",43,"Pontia protodice"
"18","Clouded Sulphur","Colias","philodice",49267,"Colias philodice"
"19","Cloudless Sulphur","Phoebis","sennae",1840,"Phoebis sennae"
"20","Cobweb Skipper","Hesperia","metea",11,"Hesperia metea"
"21","Common Buckeye","Junonia","coenia",15771,"Junonia coenia"
"22","Common Checkered-Skipper","Pyrgus","communis",3089,"Pyrgus communis"
"23","Common Ringlet","Coenonympha","tullia",1,"Coenonympha tullia"
"24","Common Roadside Skipper","Amblyscirtes","vialis",140,"Amblyscirtes vialis"
"25","Common Sooty Wing","Pholisora","catullus",1142,"Pholisora catullus"
"26","Common Wood Nymph","Cercyonis","pegala",21603,"Cercyonis pegala"
"27","Compton Tortoiseshell","Nymphalis","vau-album",15,"Nymphalis vau-album"
"28","Coral Hairstreak","Satyrium","titus",607,"Satyrium titus"
"29","Crossline Skipper","Polites","origenes",1087,"Polites origenes"
"30","Dainty Sulphur","Nathalis","iole",314,"Nathalis iole"
"31","Delaware Skipper","Atrytone","logan",1086,"Atrytone logan"
"32","Dion Skipper","Euphyes","dion",32,"Euphyes dion"
"33","Dreamy Duskywing","Erynnis","icelus",879,"Erynnis icelus"
"34","Duke's Skipper","Euphyes","dukesi",139,"Euphyes dukesi"
"35","Dun Skipper","Euphyes","vestris",1684,"Euphyes vestris"
"36","Dusky Azure","Celastrina","nigra",7,"Celastrina nigra"
"37","Dusted Skipper","Atrytonopsis","hianna",124,"Atrytonopsis hianna"
"38","Eastern Comma","Polygonia","comma",6222,"Polygonia comma"
"39","Eastern Pine Elfin","Callophrys","niphon",14,"Callophrys niphon"
"40","Eastern Tailed Blue","Everes","comyntas",56137,"Everes comyntas"
