"effect","group","term","estimate","std.error","statistic","df","p.value","model","marg_r2","cond_r2","CommonName"
"fixed",NA,"(Intercept)",-0.519002168767354,0.191918764441076,-2.70428048179051,20.61873455758,0.013418209259326,"lastgen",0.118144502718074,0.496711701600401,"American Copper"
"fixed",NA,"zdensann",-0.474581915631827,0.0730921996029898,-6.49292151843265,156.976879864571,1.05207551731268e-09,"lastgen",0.118144502718074,0.496711701600401,"American Copper"
"fixed",NA,"zyear",-0.00992560253498901,0.0132482593020419,-0.749200503152832,181.592512698571,0.454705765824135,"lastgen",0.118144502718074,0.496711701600401,"American Copper"
"ran_pars","SiteID","sd__(Intercept)",0.824322051452847,NA,NA,NA,NA,"lastgen",0.118144502718074,0.496711701600401,"American Copper"
"ran_pars","Residual","sd__Observation",0.950459998189472,NA,NA,NA,NA,"lastgen",0.118144502718074,0.496711701600401,"American Copper"
"fixed",NA,"(Intercept)",-0.424887057818234,0.0789188542790712,-5.38384726564525,84.7014574122342,6.40577816834946e-07,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"zdensann",-0.45911318554225,0.0525158218150654,-8.74237838568,598.711038444174,2.29794562944056e-17,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"zyear",-0.000630551988007684,0.00670725745295618,-0.0940104047638387,648.614494267707,0.92512992422569,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"zordsite",-1.56390687026294,0.300202068395227,-5.20951397378115,116.292363253877,8.28920124270349e-07,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"zordann",0.274777657104238,0.147136019634925,1.8675077508962,594.980312263592,0.0623221646883223,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"zordsite:zordann",1.6079807347509,0.577458872976588,2.78458053031958,594.11589356341,0.00553049449921498,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"ran_pars","SiteID","sd__(Intercept)",0.612942290953604,NA,NA,NA,NA,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"ran_pars","Residual","sd__Observation",0.953545359027485,NA,NA,NA,NA,"lastgen",0.165380116156179,0.409409815870938,"Black Swallowtail"
"fixed",NA,"(Intercept)",-0.584562953775534,0.0400585293308506,-14.5927212890798,106.588078137934,3.64793792169303e-27,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"zdensann",-0.253281475705119,0.0296201294311123,-8.55099152399647,1236.72552071021,3.55250877108252e-17,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"zyear",0.0284926167379339,0.00357406509065009,7.97204751879642,1146.43038745356,3.7487797233046e-15,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"zordsite",-3.34346854754053,0.162607703718776,-20.561563019935,104.451934000328,1.65641757846258e-38,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"zordann",-1.54835369751085,0.0872241116553623,-17.7514412944515,1207.17765302596,8.01999106191739e-63,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"zordsite:zordann",-3.61023900994169,0.335488917012565,-10.7611274974144,1196.94787082287,7.64824467551651e-26,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"ran_pars","SiteID","sd__(Intercept)",0.344940945789347,NA,NA,NA,NA,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"ran_pars","Residual","sd__Observation",0.681241013173643,NA,NA,NA,NA,"lastgen",0.620438200157195,0.697893053878267,"Cabbage White"
"fixed",NA,"(Intercept)",-1.43911691362177,0.370650124808082,-3.88268293277096,14.6108978683263,0.00153977872986925,"lastgen",0.258037915937136,0.718867700278124,"Crossline Skipper"
"fixed",NA,"zdensann",-0.821479264443158,0.184949507259007,-4.44164073004391,49.5077614474367,5.01541386818029e-05,"lastgen",0.258037915937136,0.718867700278124,"Crossline Skipper"
