"effect","group","term","estimate","std.error","statistic","df","p.value","model","marg_r2","cond_r2","CommonName"
"fixed",NA,"(Intercept)",-0.615454776365242,0.120164455437969,-5.12177061113508,13.3736307631836,0.000179373211803835,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zdensann",-0.620257834503166,0.0967622319447707,-6.41012326852065,121.251352562025,2.91004304016017e-09,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zyear",-0.0285024041688808,0.014321353424144,-1.99020325277562,114.075818175399,0.0489602517006443,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zlastsite",0.607706633683179,0.176686282158395,3.43946698215306,30.2196742614989,0.00172246963669005,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zlastann",0.257740589241012,0.0980494646424348,2.62867920983491,120.289826078038,0.00968989739238959,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zfrostann",0.164242952242559,0.0944803093480491,1.73838287973335,123.201426295636,0.0846416742897562,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zwinterann",0.178227503910326,0.0785162570200669,2.26994396669692,116.737736124383,0.0250460794146795,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zlastsite:zfrostann",-0.256454988073011,0.112169284412569,-2.28632097829692,125.982663639575,0.0239050164572814,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"zfrostann:zwinterann",-0.247456213387075,0.0938783907115918,-2.63592304375239,125.50303126013,0.0094496332985018,"ow",0.459012315627292,0.516945434364814,"American Copper"
"ran_pars","SiteID","sd__(Intercept)",0.312484380035166,NA,NA,NA,NA,"ow",0.459012315627292,0.516945434364814,"American Copper"
"ran_pars","Residual","sd__Observation",0.902324926250498,NA,NA,NA,NA,"ow",0.459012315627292,0.516945434364814,"American Copper"
"fixed",NA,"(Intercept)",-0.533485078139057,0.071138517350303,-7.49924370101852,60.5041191006717,3.35244574506642e-10,"ow",0.336587363323653,0.505065023787476,"Black Swallowtail"
"fixed",NA,"zdensann",-0.572772395818081,0.0548098003005494,-10.4501821330726,379.288686081634,1.24035142382815e-22,"ow",0.336587363323653,0.505065023787476,"Black Swallowtail"
"fixed",NA,"zyear",-0.0377589980754083,0.00703943390045483,-5.36392536805673,384.441996618695,1.40926257315343e-07,"ow",0.336587363323653,0.505065023787476,"Black Swallowtail"
"fixed",NA,"zlastsite",0.21866641642609,0.0842652492840006,2.59497738728707,63.7370408448339,0.0117261623191892,"ow",0.336587363323653,0.505065023787476,"Black Swallowtail"
"fixed",NA,"zlastann",0.241117546119858,0.0432784109874813,5.57131236148212,386.322657493937,4.74758397927628e-08,"ow",0.336587363323653,0.505065023787476,"Black Swallowtail"
